Question,Label
как дела?,1
как делишки,1
как дела,1
как жизнь молодая,1
как житуха,1
как жизнь,1
как поживаешь,1
как ты,1
как к вам поступить?,2
Какие предметы нужны для поступления?,2
Сколько баллов нужно для поступления?,2
Какие предметы нужны для поступления?,2
Сколько предметов нужно для поступления (Егэ)?,2
Как пройти по вступительным экзаменам?,2
Какие вступительные экзамены нужны?,2
Можно ли пройти по вступительным экзаменам?,2
Сколько нужно пройти вступительных экзаменов?,2
Куда подавать документы на поступление?,2
Какие документы подавать на поступление?,2
Куда подходить для подачи документов?,2
как перевестись из другого вуза?,3
Могу ли я перевестись из другого вуза?,3
Что требуется для перевода?,3
Куда обращаться на счет перевода из другого вуза?,3
Нужны ли зачеты по предметам из прошлого вуза?,3
К кому обращаться по переводу из другого вуза?,3
К кому обращаться на счет перевода из другого вуза?,3
В какие дни можно обратиться по поводу перевода из другого вуза?,3
В какие дни можно обратиться на счет перевода из другого вуза?,3
Какой человек ответственен за перевод из другого вуза?,3
Какой номер приемной комиссии по переводу из другого вуза?,3
"я сдал тесты, почему недоступна оплата?",4
Почему я не могу заплатить за обучение?,4
Как заплатить за свое обучение?,4
Почему недоступна оплата?,4
Где оплатить свое обучение?,4
В каком месте оплатить обучение?,4
Как мне оплатить свое обучение? ,4
Могу ли я оплатить свое обучение?,4
Почему не выходит оплатить обучение?,4
Доступна ли оплата обучения?,4
Когда мне будет доступна оплата обучения?,4
может ли повышаться стоимость обучения?,5
Может ли увеличиться стоимость обучения?,5
От чего зависит стоимость обучения?,5
Зависит ли стоимость обучения от курса рубля?,5
Сможет ли увеличиться оплата обучения?,5
Возрастет ли стоимость обучения?,5
От чего зависит повышение стоимости обучения?,5
Возможно ли увеличение стоимости обучения?,5
Возможно ли повышение оплаты за обучение?,5
Как сможет повышаться стоимость обучения?,5
Из-за чего сможет увеличиться стоимость обучения?,5
Может ли в скором времени повыситься стоимость обучения?,5
Может ли измениться стоимость обучения?,5
сколько учиться?,6
Сколько обычно обучаются по специальности,6
Каковы сроки обучения?,6
Сколько всего продлится моё обучение?,6
Сколько всего курсов?,6
Каково время обучения?,6
Как долго будет идти обучение?,6
Как долго идёт курс?,6
Как долго длится все обучение?,6
Сколько семестров курс?,6
Сколько длится семестр?,6
Как долго длится семестр?,6
Как долго может идти обучение?,6
На сколько большое время обучения?,6
"где посмотреть, какие есть направления/специальности?",7
Где увидеть какие есть направления/специальности? ,7
У кого можно спросить какие есть направления/специальности?,7
Где узнать увидеть какие есть направления/специальности?,7
Где можно посмотреть какие есть направления/специальности?,7
Могу ли я узнать какие есть направления/специальности?,7
Есть ли где база данных по направлениям/специальностям?,7
Где находится база данных по направлениям/специальностям?,7
К кому обратиться по вопросу о направлениях и специальностях?,7
Можно ли посмотреть какие есть направления и специальности?,7
я давно окончил школу. можно ли поступить без егэ?,8
Если я давно окончил школу. Имеется ли возможность поступить без ЕГЭ?,8
Я давно закончил среднее учебное заведение. Возможно ли поступить без ЕГЭ?,8
Я давно завершил среднее учебное заведение. Вполне вероятно поступить без ЕГЭ?,8
Я закончил школу в прошлом году. Не исключено ли поступить без ЕГЭ?,8
Возможно ли поступление без ЕГЭ,8
Есть возможность поступления без ЕГЭ в том случае,8
Можно ли поступить в вуз без ЕГЭ?,8
Есть ли возможность поступить в вуз без ЕГЭ?,8
Закончил школу в прошлом году. Возможно ли поступить без ЕГЭ?,8
Окончил школу пару лет назад,8
до какого числа нужно оплатить?,9
До какого числа необходимо произвести оплату?,9
Какой срок для оплаты?,9
Когда нужно произвести оплату?,9
Какого числа необходимо оплатить?,9
Уточните сроки для оплаты,9
Какие сроки для оплаты?,9
Когда можно будет оплатить?,9
Когда нужно оплатить?,9
До какого числа нужно произвести оплату?,9
Хочу узнать сроки для оплаты,9
как учиться? (описание формата обучения),10
Как проходит обучение?,10
Как происходит обучение?,10
Что нужно знать о процессе обучения?,10
В каком формате будет проходить обучение?,10
Что мне необходимо знать о процессе обучения?,10
Отличается ли учебный процесс от школы?,10
Чем отличается учебный процесс?,10
Какие отличия в учебном процессе?,10
Хочу знать о процессе обучения,10
Хочу знать как проходит обучение в тгу,10
какие документы необходимы для подачи заявления о приеме?,11
Необходимые документы для подачи заявления о приёме,11
Что нужно принести что бы подать заявление о приёме,11
Перечень документов необходимый для подачи заявления о приёме,11
Что нужно для подачи заявления о приёме,11
Список документов для подачи заявления о приёме,11
Заявление на приём,11
Где узнать документы на приём,11
Документ заявление на приём,11
Необходимые документы на приём,11
Документы для заявления,11
Какие документы для заявления,11
Какие документы для приёма заявления,11
Где взять документы для заявления,11
Где найти документы для заявления,11
Документы на приём,11
Что для заявления на приём,11
Что нужно для заявления на приём,11
Документы для приёма,11
Документы для заявления,11
Какие документы необходимы для подачи заявления о приеме?,11
необходимо ли сдавать егэ выпускникам колледжей (начальное профессиональное и среднее профессиональное образование)?,12
ЕГЭ выпускникам колледжей,12
сдать егэ колледж,12
нужно сдавать егэ колледж,12
начальное профессиональное сдавать егэ,12
Среднее профессиональное образование сдавать егэ,12
Нужно начальное профессиональное сдавать егэ,12
Нужно среднее профессиональное образование сдавать егэ,12
колледж нужно егэ,12
егэ для колледж,12
егэ для Среднее профессиональное образование,12
егэ для начальное профессиональное,12
егэ сдавать колледж,12
сдать егэ после колледж,12
сдать егэ после начальное профессиональное,12
сдать егэ после среднее профессиональное,12
егэ после колледж,12
егэ после Среднее профессиональное образование,12
егэ после начальное профессиональное,12
колледж егэ,12
егэ колледж,12
сколько действуют результаты егэ?,13
действие результат егэ,13
егэ результат,13
сколько егэ,13
егэ сколько,13
егэ сколько действует,13
егэ действует,13
егэ время действия,13
до какого действует егэ,13
когда кончиться егэ,13
срок егэ,13
срок действия егэ,13
егэ срок действия,13
конец действия егэ,13
конец егэ,13
егэ конец действия,13
окончание егэ,13
окончание действия егэ,13
окончание действия результатов егэ,13
время действия егэ,13
сколько действует егэ,13
суммируются ли баллы за индивидуальные достижения с баллами за егэ (вступительные испытания)?,14
сумма баллы егэ индивидуальные достижения,14
егэ баллы сумма  вступительные испытания,14
будут ли суммироваться баллы егэ с индивидуальные достижеия,14
будет ли сумма баллы егэ и индивидуальные достижения,14
егэ будет ли сумма баллов,14
индивидуальные достижения сумма егэ,14
егэ и индивидуальные достижения сумма,14
будут ли суммироваться баллы вступительные испытания с индивидуальные достижеия,14
будет ли сумма баллы вступительные испытания и индивидуальные достижения,14
вступительные испытания будет ли сумма баллов,14
индивидуальные достижения сумма вступительные испытания,14
вступительные испытания и индивидуальные достижения сумма,14
баллы егэ сумма индивидуальные достижения,14
вступительные испытания сумма индивидуальные достижения,14
индивидуальные достижения сумма баллы егэ,14
егэ сумма индивидуальные достижения,14
индивидуальные достижения егэ,14
будет ли сумма индивидуальные достижения и ЕГЭ,14
будет ли сумма ЕГЭ и индивидуальные достижения,14
вступительные испытания сумма баллы егэ,14
"если я не преодолею минимум по одному из предметов, могу ли я претендовать хотя бы на обучение на внебюджете?",15
Не преодолел минимум,15
Не преодолел минимум по одному из предметов,15
Внебюджет если не преодолел минимум по одному из предметов,15
Возможно ли поступить если не преодолел минимум по одному из предметов,15
Не перешел порог по одному из предметов,15
Не набрал необходимые баллы по одному из предметов,15
Не набрал баллы,15
Не хватает баллов до проходного,15
Могу ли я поступить если не набрал баллы по одному из предметов,15
Поступить если не набрал по предмету баллы,15
Могу ли поступить на платное если не преодолел порог для бюджета,15
Мало баллов по одному из предметов,15
Мало баллов можно ли поступить на платное,15
Не хватило баллов на бюджет,15
Не хватило баллов по одному из предметов,15
Что делать не хватило баллов по одному из предметов,15
Что делать не набрал проходной,15
Не перешел порого можно ли поступить на платное,15
Платное обучение,15
Обучение внебюджета,15
имеют ли право выпускники школ 2022 года досдать или пересдать егэ на базе тгу?,16
Можно ли пересдать ЕГЭ на базе тгу?,16
Возможна ли пересдача или досдача ЕГЭ на базе ТГУ выпускниками школ 2022 года?,16
Пересдача ЕГЭ на базе ТГУ,16
Досдача ЕГЭ на базе ТГУ,16
Могу ли я досдать или пересдать ЕГЭ в ТГУ?,16
Имею ли я право досдать или пересдать ЕГЭ на базе ТГУ будучи выпускником 2022 года,16
Пересдача или досдача ЕГЭ в ТГУ,16
Возможно ли досдать ЕГЭ на базе ТГУ?,16
Возможно ли пересдать ЕГЭ в ТГУ?,16
Возможно ли досдать ЕГЭ на базе ТГУ выпускникам 2022 года?,16
Возможно ли пересдать ЕГЭ на базе ТГУ выпускникам 2022 года?,16
Возможно ли пересдать ЕГЭ на базе ТГУ?,16
Возможно ли досдать ЕГЭ в ТГУ?,16
Досдача ЕГЭ,16
Пересдача ЕГЭ,16
Выпускник 2022 года досдача ЕГЭ,16
Выпускник 2022 года пересдача ЕГЭ,16
ЕГЭ на базе ТГУ,16
Пересдача ЕГЭ в ТГУ выпускниками школ 2022,16
"сколько баллов по егэ нужно набрать, чтобы пройти на бюджет?",17
Проходные баллы бюджет,17
Проходные баллы на бюджет,17
Проходной минимум на бюджет,17
Сколько нужно баллов на бюджет,17
баллы на бюджетное обучение,17
Какой минимум баллов нужно набрать на бюджет,17
Минимальные проходные баллы на бюджет,17
Необходимый минимум баллов на бюджет,17
Прохождение на бюджет,17
Количество баллов для прохождения на бюджет,17
Проходной минимум для бюджета,17
Сколько нужно баллов для прохождения на бюджет,17
Бюджет проходной минимум,17
Бюджет минимальные баллы,17
Какие баллы требуются для поступления на бюджетное обучение,17
Проходной минимум на бюджетное обучение,17
Необходимые баллы на бюджет,17
Какой минимум надо набрать на бюджет,17
Минимальное проходное количество баллов,17
Проходные баллы ЕГЭ,17
на какое количество направлений подготовки (специальностей) можно подать документы?,18
Направления подготовки документы,18
Количество направлений подготовки документы,18
Подача документов на специальности,18
Подача документов на направления подготовки,18
Сколько подать на направления подготовки,18
Сколько можно подать на специальности,18
На сколько направлений подготовки можно подать документы,18
На сколько специальностей можно подать документы,18
Документы на направления подготовки,18
Документы на специальности,18
На сколько направлений подготовки можно подать заявления одновременно,18
Максимальное количество выбранных направлений подготовки,18
Максимальное количество выбранных специальностей,18
Сколько могу выбрать специальностей,18
Сколько могу выбрать направлений подготовки,18
Максимум выбранных направлений подготовки,18
Максимум выбранных специальностей,18
Максимальное количество заявлений на направления подготовки,18
На сколько специальностей можно подать,18
Сколько можно выбрать специальностей,18
"имеют ли право ""льготники"" на внеконкурсный приём?",19
Внеконкурсный приём,19
Поступление без экзаменов,19
Я олимпиадник,19
Поступление льготникам,19
Поступление спортсменам,19
Поступление инвалидам,19
Как поступить без экзаменов,19
Как поступить без вступительных испытаний,19
Условия приёма без вступительных испытаний,19
Условия приёма без экзаменов,19
Я сирота,19
Я льготник,19
Я чемпион европы,19
Поступление для участников международных соревнований,19
Поступление для участников всероссийских олимпиад,19
Кто такие льготники,19
Как поступить вне конкурса,19
Какие олимпиады нужны для внеконкурсного приема,19
Что надо для внеконкурсного приема,19
Нужны ли льготникам результаты экзаменов,19
Нужны ли льготникам результаты ЕГЭ,19
Нужны ли льготникам вступительные испытания,19
Вступительные испытания для льготников,19
как заполнить заявку на сайте для поступления в магистратуру?,20
Как поступить в магистратуру,20
Магистратура,20
Заявление в магистратуру,20
Поступление в магистратуру,20
Заявление для поступления в магистратуру,20
Как поступить в магистратуру,20
Магистратура  2022,20
Что нужно для поступления в магистратуру,20
Какие документы нужны для магистратуры,20
Как продолжить обучение после диплома,20
Второе высшее,20
Направления магистратуры,20
на какой курс можно поступить после спо?,21
Поступление после колледжа,21
Поступление с спо,21
Поступление после техникума,21
Поступление после профессионального училища,21
На  какой курс можно поступить после колледжа,21
Программа сокращенного обучения,21
На какой курс я могу поступить после колледжа,21
На какой курс я могу поступить после профессионального училища,21
На какой курс я могу поступить после техникума,21
Поступление на второй курс после колледжа,21
Поступление на третий курс после колледжа,21
Могу ли я после колледжа поступить на второй курс,21
Могу ли я после колледжа поступить на третий курс,21
После колледжа поступают на первый курс?,21
На какой курс я попаду после колледжа,21
На какой курс я попаду после техникума,21
На какой курс я попаду после профессионального училища,21
Условия поступления со средне профессиональным образованием,21
Поступление после колледжа 2022,21
Сколько учиться при поступлении после колледжа,21
где посмотреть программы вступительных экзаменов?,22
Вступительные экзамены,22
Экзамены при поступлении,22
Творческий конкурс,22
Психологический тест,22
Баллы по вступительным экзаменам,22
Есть ли у меня вступительные экзамены,22
На каких специальностях нужны вступительные экзамены,22
Информация по вступительным экзаменам,22
Все вступительные экзамены,22
Вступительные на дизайнера,22
Вступиельные журналистика,22
Вступительные физкультура,22
Как посмотреть вступительные экзамены,22
Программа вступительных ТГУ,22
Все вступительные ТГУ,22
как проходят вступительные экзамены?,23
Как проходят вступительные экзамены?,23
Что происходит на вступительныъ экзаменах?,23
Что будет на вступительных экзаменах?,23
Вступительные,23
вступительные экзамены,23
Как пройдут вступтельные?,23
Как проходят вступительные?,23
Что нужно на вступительных,23
Что будет на вступительных,23
Что ждет на вступительных,23
Этапы вступительных экзаменов,23
этапы вступительных,23
информация о вступительных,23
информация о всутптельных экзаменах,23
все о вступительных,23
все о вступительных экзаменах,23
Как пройдут вступительные,23
Как пройдут вступительные экзамены,23
Как проходят вступительные в ТГУ,23
как пройдут вступительные в ТГУ,23
Что будет во время вступительных,23
Что нужно для вступительных экзаменов,23
общежитие,24
Общежитие,24
Общага,24
Шняга шняжная жизнь общащная,24
когда выставляются результаты вступительного экзамена?,25
когда результаты экзаменов,25
результаты вступительных экзаменов,25
как восстановиться в тгу?,26
как восстановиться в тгу,26
как вернуться в тгу,26
где посмотреть минимальные баллы для подачи документов?,27
Как узнать минимальные баллы для поступления?,27
Как узнать минимальные баллы для подачи документов?,27
Как узнать минимальные баллы?,27
С какими минимальными баллами можно попасть на бюджет?,27
С какими минимальными баллами можно поступить?,27
Какой порог для поступления?,27
Какой порог?,27
Какой минимум баллов?,27
С какими минимальными баллами я поступлю?,27
Минимальные баллы для поступления,27
военная кафедра,28
Все о военной кафедре,28
Как попасть на военную кафедру?,28
Информация о военной кафедре,28
Что нужно чтобы попасть на военную кафедру?,28
Есть ли военная кафедра?,28
В тгу есть военная кафедра?,28
Сколько учиться на военной кафедре?,28
Куда обратиться,28
Хочу узнать о военной кафедре,28
Что нужно для поступления на военную кафедру?,28
отсрочка от армии,29
Как получить отсрочку от армии,29
Что нужно для получения отсрочки от армии?,29
Куда обратиться,29
Что нужно для отсрочки от армии?,29
Отсрочка,29
Хочу узнать об отсрочке от армии,29
Можно ли получить отсрочку от армии?,29
Есть ли отсрочка от армии?,29
Какие документы нужны чтобы получить отсрочку от армии?,29
В каком случае можно получить отсрочку от службы в армии?,29
